change_id,restaurant_name,item_name,change_type,old_value,new_value,reference_data,llm_decision,llm_confidence,llm_reasoning,human_decision,human_agrees_with_llm
CHG-016,Durumcu Baba,Butter Chicken,description,Chicken curry,Slow-simmered 24-hour chicken curry with hand-ground spice blend,,approve,0.88,Description enhancement. No misleading claims detected.,approve,TRUE
CHG-017,Bosporus Grill,Sushi Set,description,Chocolate cake,Single-origin Valrhona dark chocolate cake with gold leaf,,approve,0.91,Description enhancement. No misleading claims detected.,approve,TRUE
CHG-018,Five Guys,Pad Thai,description,Tomato soup,San Marzano tomato bisque with basil cream,,approve,0.94,Description enhancement. No misleading claims detected.,approve,TRUE
CHG-019,Ravi Restaurant,Fried Chicken Box,description,Grilled salmon,Line-caught Norwegian salmon with herb butter,,approve,0.88,Description enhancement. No misleading claims detected.,approve,TRUE
CHG-020,Schnitzel Fritz,Bibimbap,allergen_dietary,,"Vegan, Gluten-free",Current allergen record: ,approve,0.47,"New dietary tags added: 'Vegan, Gluten-free'. Tags appear reasonable for this item category. No safety concern detected. Approved.",reject,FALSE
CHG-021,Bebek Balikci,Classic Burger,allergen_dietary,,"Vegan, Gluten-free",Current allergen record: ,flag_for_review,0.75,New dietary claims added without prior history. Needs ingredient verification.,reject,TRUE
CHG-022,Karadeniz Pide,Tacos,allergen_dietary,"Contains: nuts, dairy",Contains: dairy,"Current allergen record: Contains: nuts, dairy",flag_for_review,0.96,Nut allergen removed. Safety-critical — must verify recipe change.,reject,TRUE
CHG-023,Gwangjang Market,Gelato,allergen_dietary,,"Contains: soy, sesame",Current allergen record: ,approve,0.88,New allergen disclosure. Adding warnings is the safe direction.,approve,TRUE
CHG-024,Curry 36,Doner Kebab,allergen_dietary,"Contains: nuts, dairy",Contains: dairy,"Current allergen record: Contains: nuts, dairy",reject,0.45,Allergen change flagged for potential inconsistency.,reject,TRUE
CHG-025,Ciya Sofrasi,Pommes Frites,image,salad_old.jpg,salad_updated.jpg,"Image analysis: Old image is a slightly blurry photo of fries in dim lighting. New image is a clear, well-lit photo of the same style of fries with better composition.",reject,0.62,Image change detected for Pommes Frites. New image differs from original — rejecting pending manual review.,approve,FALSE
CHG-026,Burgermeister,Hummus,image,chicken_plate_v1.jpg,stock_photo_chicken_12345.jpg,,reject,0.77,New image detected as stock photo. Platform policy requires actual dish photos.,reject,TRUE
CHG-027,Sahara Imbiss,Mixed Grill Plate,image,kebab_real.jpg,kebab_ai_generated.jpg,,reject,0.78,"Image shows signs of AI generation (artifacts, impossible plating). Policy requires real photos.",reject,TRUE
CHG-028,Zabeel House Kitchen,Currywurst,image,fish_chips.jpg,unrelated_dessert.jpg,,reject,0.93,New image is a dessert for a fish dish. Obvious mismatch.,reject,TRUE
CHG-029,Zabeel House Kitchen,Truffle Burger,category,Starters,Sharing Plates,,approve,0.86,Subcategory refinement. Common menu pattern.,approve,TRUE
CHG-030,Al Baik,Vegan Bowl,category,Extras,Sides,,approve,0.87,Reasonable reclassification within similar tier.,approve,TRUE
